Category,Product,Gender,Back_Style,Sleeve_Length,Color,Size,Price
Athletic,Gym T-shirt,Unisex,Covered,Sleeveless,Red,40,34
Athletic,Gym T-shirt,Men,Not Backless,Half,White,6,81
Athletic,Gym T-shirt,Women,Backless,Sleeveless,White,L,57
Athletic,Gym T-shirt,Unisex,Not Backless,Half,Green,38,108
Footwear,Socks,Unisex,Backless,Sleeveless,Blue,XL,43
Footwear,Socks,Women,Backless,Half,Red,M,6
Footwear,Socks,Men,Covered,Full,Blue,9,102
Footwear,Socks,Men,Covered,Full,White,L,68
Footwear,Socks,Unisex,Covered,Full,Green,L,53
Footwear,Slides,Men,Covered,Sleeveless,Green,10,61
Footwear,Slides,Women,Backless,Full,Green,40,34
Footwear,Slides,Unisex,Backless,Half,Yellow,L,41
Footwear,Slides,Unisex,Covered,Full,Yellow,34,102
